danmark, Dania
henvisninger, polecenia
år, rok
man, mężczyzna
del, część
kommune, gmina
film, film
usa, usa
københavn, Kopenhaga
maj, maj
død, śmierć
august, sierpień
januar, styczeń
diskussion, rozmowa
april, kwiecień
juni, czerwiec
september, wrzesień
byen, miasto
marts, marzec
oktober, październik
sogn, parafia
juli, lipiec
november, listopad
december, grudzień
by, miasto
historie, opowieść
kirke, kościół
februar, luty
dag, dzień
tid, czas
navn, imię
tyskland, Niemcy
række, wiersz
side, strona
mand, człowiek
sverige, Szwecja
artikler, artykuły
hold, drużyna
frankrig, Francja
norge, Norwegia
navnet, nazwa
søn, syn
grund, powód
medlem, członek
england, Anglia
plads, plac
stedet, miejsce
fodboldspiller, piłkarz
tog, p[ociąg
spiller, gracz]
